dataset,method,query_id,ndcg@10,mrr@10,recall@100
scifact,bm25,274,1.0,1.0,1.0
scifact,bm25,275,0.46927872602275644,1.0,0.6666666666666666
scifact,bm25,279,1.0,1.0,1.0
scifact,bm25,294,1.0,1.0,1.0
scifact,bm25,295,1.0,1.0,1.0
scifact,bm25,298,1.0,1.0,1.0
scifact,bm25,3,1.0,1.0,1.0
scifact,bm25,300,0.43067655807339306,0.25,1.0
scifact,bm25,303,0.6309297535714575,0.5,1.0
scifact,bm25,312,0.38685280723454163,0.2,1.0
scifact,bm25,314,0.5,0.3333333333333333,1.0
scifact,bm25,324,0.38685280723454163,0.2,1.0
scifact,bm25,327,1.0,1.0,1.0
scifact,bm25,338,1.0,1.0,1.0
scifact,bm25,343,0.6509209298071326,0.5,1.0
scifact,bm25,350,1.0,1.0,1.0
scifact,bm25,354,1.0,1.0,1.0
scifact,bm25,36,0.19342640361727081,0.125,1.0
scifact,bm25,362,1.0,1.0,1.0
scifact,bm25,380,1.0,1.0,1.0
scifact,bm25,384,0.0,0.0,1.0
scifact,bm25,385,0.48381288316677695,0.3333333333333333,1.0
scifact,bm25,386,1.0,1.0,1.0
scifact,bm25,388,0.5,0.3333333333333333,1.0
scifact,bm25,399,1.0,1.0,1.0
scifact,bm25,410,1.0,1.0,1.0
scifact,bm25,411,1.0,1.0,1.0
scifact,bm25,415,0.3562071871080222,0.16666666666666666,1.0
scifact,bm25,42,0.6309297535714575,0.5,1.0
scifact,bm25,421,0.0,0.0,0.0
scifact,bm25,431,0.0,0.0,0.0
scifact,bm25,436,1.0,1.0,1.0
scifact,bm25,437,0.0,0.0,0.0
scifact,bm25,439,0.6309297535714575,0.5,1.0
scifact,bm25,440,0.6309297535714575,0.5,1.0
scifact,bm25,443,1.0,1.0,1.0
scifact,bm25,452,0.20438239758848611,0.14285714285714285,0.5
scifact,bm25,475,0.0,0.0,1.0
scifact,bm25,478,0.6309297535714575,0.5,1.0
scifact,bm25,48,0.6309297535714575,0.5,1.0
scifact,bm25,49,1.0,1.0,1.0
scifact,bm25,491,1.0,1.0,1.0
scifact,bm25,5,1.0,1.0,1.0
scifact,bm25,50,1.0,1.0,1.0
scifact,bm25,501,1.0,1.0,1.0
scifact,bm25,502,0.0,0.0,0.0
scifact,bm25,507,1.0,1.0,1.0
scifact,bm25,508,0.0,0.0,1.0
scifact,bm25,51,1.0,1.0,1.0
scifact,bm25,513,1.0,1.0,1.0
scifact,bm25,514,0.0,0.0,1.0
scifact,bm25,516,1.0,1.0,1.0
scifact,bm25,517,0.0,0.0,1.0
scifact,bm25,521,1.0,1.0,1.0
scifact,bm25,525,1.0,1.0,1.0
scifact,bm25,527,0.6309297535714575,0.5,1.0
scifact,bm25,528,1.0,1.0,1.0
scifact,bm25,53,1.0,1.0,1.0
scifact,bm25,532,1.0,1.0,1.0
scifact,bm25,533,1.0,1.0,1.0
scifact,bm25,535,0.0,0.0,0.0
scifact,bm25,536,1.0,1.0,1.0
scifact,bm25,539,1.0,1.0,1.0
scifact,bm25,54,0.0,0.0,1.0
scifact,bm25,540,0.20438239758848611,0.14285714285714285,1.0
scifact,bm25,544,0.0,0.0,1.0
scifact,bm25,549,1.0,1.0,1.0
scifact,bm25,551,0.31546487678572877,0.125,1.0
scifact,bm25,552,1.0,1.0,1.0
scifact,bm25,554,0.3333333333333333,0.14285714285714285,1.0
scifact,bm25,56,1.0,1.0,1.0
scifact,bm25,560,0.0,0.0,0.0
scifact,bm25,569,1.0,1.0,1.0
scifact,bm25,57,1.0,1.0,1.0
scifact,bm25,575,0.0,0.0,1.0
