dataset,metric,baseline_method,candidate_method,n_paired_queries,mean_delta,ci_low,ci_high,p_value,p_value_bh,cohen_d,bootstrap_resamples
"fiqa","ndcg@10","all_minilm_l6","bge_small_en_v15",648,0.022590418407916195,0.004697683394603002,0.04134527716684378,0.014781147523260303,0.022171721284890453,0.09601933092243382,2000
"fiqa","mrr@10","bm25","all_minilm_l6",648,0.15025475210660397,0.11550129825592788,0.1841098373505781,1.26158091428322E-16,4.5416912914195915E-16,0.33409270404638547,2000
"fiqa","mrr@10","bm25","bge_small_en_v15",648,0.18149127963942788,0.14877584264158344,0.21353615520282188,7.414889002628766E-26,3.3367000511829446E-25,0.43151223384705506,2000
"fiqa","mrr@10","all_minilm_l6","bge_small_en_v15",648,0.031236527532823837,0.006543332353517542,0.0577638154027043,0.012199506593789457,0.019094879885931327,0.09873531871691374,2000
"fiqa","recall@100","bm25","all_minilm_l6",648,0.19784299205595499,0.16814251420732904,0.22760612158760302,6.900807963627651E-35,8.280969556353181E-34,0.5141066549102642,2000
"fiqa","recall@100","bm25","bge_small_en_v15",648,0.174739642216494,0.1448088134430727,0.2048268175582991,9.225970486924679E-28,4.7447848218469774E-27,0.4497221439084302,2000
"fiqa","recall@100","all_minilm_l6","bge_small_en_v15",648,-0.023103349839460947,-0.04719570124662716,0.00041835308039011644,0.055820599877337514,0.07176934269943394,-0.0752629285229903,2000
"nfcorpus","ndcg@10","bm25","all_minilm_l6",323,0.009400425666728052,-0.013734630835276342,0.032056993561393236,0.4320273474581813,0.44437098595698643,0.04377399250694093,2000
"nfcorpus","ndcg@10","bm25","bge_small_en_v15",323,0.03809184993139268,0.01514053814705815,0.06226189373371348,0.0013823404502962475,0.0023697264862221385,0.17952282096256886,2000
"nfcorpus","ndcg@10","all_minilm_l6","bge_small_en_v15",323,0.028691424264664627,0.013596412604721204,0.043772193629537035,0.00021481451800153324,0.0004070169814765893,0.20829891995813105,2000
"nfcorpus","mrr@10","bm25","all_minilm_l6",323,-0.008225219912526418,-0.045229495306894685,0.028753255688240206,0.6602363512202227,0.6602363512202227,-0.024481942904553907,2000
"nfcorpus","mrr@10","bm25","bge_small_en_v15",323,0.01918398938522778,-0.021594427244582024,0.0597670647206251,0.3477509893380927,0.37936471564155566,0.05232159917011678,2000
"nfcorpus","mrr@10","all_minilm_l6","bge_small_en_v15",323,0.02740920929775419,-0.0045813062066932045,0.056760774485232715,0.08153904836269071,0.09661710810664184,0.09722223666414705,2000
"nfcorpus","recall@100","bm25","all_minilm_l6",323,0.07555575461654623,0.051755381751663686,0.09850106971983474,1.1922961190656358E-9,3.5768883571969076E-9,0.34860697473510754,2000
"nfcorpus","recall@100","bm25","bge_small_en_v15",323,0.0607494029605731,0.03928198871671065,0.08100608359902199,2.0926521832123198E-8,5.795036815049501E-8,0.3198426247797456,2000
"nfcorpus","recall@100","all_minilm_l6","bge_small_en_v15",323,-0.01480635165597308,-0.029640100500378155,-0.0005546197944788576,0.04710382884591399,0.06280510512788533,-0.11089412348689766,2000
"scifact","ndcg@10","bm25","all_minilm_l6",300,-0.017131373222781958,-0.05626458625969169,0.020690052683058475,0.3788369008929739,0.4011214244749135,-0.050884705130408305,2000
"scifact","ndcg@10","bm25","bge_small_en_v15",300,0.03829099255011014,0.0030348580079213447,0.07546974765798031,0.04387834158741751,0.06075462681334732,0.11684499765866947,2000
"scifact","ndcg@10","all_minilm_l6","bge_small_en_v15",300,0.05542236577289208,0.028173616714453134,0.08193437548125426,0.0000692507669606343,0.00014174977416640954,0.2329923390365263,2000
"scifact","mrr@10","bm25","all_minilm_l6",300,-0.025518518518518524,-0.06655820105820107,0.013865079365079363,0.2217512549792404,0.24947016185164544,-0.07069290425678088,2000
"scifact","mrr@10","bm25","bge_small_en_v15",300,0.03667460317460316,-0.004449735449735452,0.0788478835978836,0.08319806531405269,0.09661710810664184,0.10035730758938226,2000
"scifact","mrr@10","all_minilm_l6","bge_small_en_v15",300,0.062193121693121696,0.032632275132275124,0.09332407407407407,0.00007087488708320477,0.00014174977416640954,0.23266072516615802,2000
"scifact","recall@100","bm25","all_minilm_l6",300,0.042444444444444444,0.0028888888888888875,0.08177777777777777,0.03786132838653689,0.054520312876613124,0.12041295890921894,2000
"scifact","recall@100","bm25","bge_small_en_v15",300,0.06744444444444443,0.03166666666666667,0.10555555555555554,0.00037975655821139977,0.0006835618047805195,0.20753907775746602,2000
"scifact","recall@100","all_minilm_l6","bge_small_en_v15",300,0.025,0.0,0.05333333333333334,0.07088802704300683,0.0879989301223533,0.10465362369445688,2000
